,DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
133,0,mujets,down,4,0.0,2.5,20,30,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.059796832501888275
134,0,mujets,down,4,0.0,2.5,30,50,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.019170831888914108
135,0,mujets,down,4,0.0,2.5,50,70,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.018440404906868935
136,0,mujets,down,4,0.0,2.5,70,100,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.033448714762926102
137,0,mujets,down,4,0.0,2.5,100,140,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.06348901242017746
138,0,mujets,down,4,0.0,2.5,140,200,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.10567158460617065
139,0,mujets,down,4,0.0,2.5,200,300,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.070227041840553284
140,0,mujets,down,4,0.0,2.5,300,600,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0617985799908638
141,0,mujets,down,4,0.0,2.5,600,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.24897776544094086
142,0,mujets,down,5,0.0,2.5,20,30,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.02391873300075531
143,0,mujets,down,5,0.0,2.5,30,50,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0076683331280946732
